id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,1,BARWA DHAP,BARWAKHAP,Deep tubewell,Ground Water,NEAREST MANDIR,HandPump,CHANPATIA SCHEME(0006574961)
2,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,2,BARWA DHAP,BARWAKHAP,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544530)
3,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,3,BARWA DHAP,KATAHARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544531)
4,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,4,BARWA DHAP,LOHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544532)
5,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,5,BARWA DHAP,OJHA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544533)
6,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,6,BARWA DHAP,TATAWO TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004742612)
7,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,7,BARWA DHAP,TATAWO TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004746290)
8,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,8,BARWA DHAP,TATAWO TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544534)
9,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,9,BARWA DHAP,TIWARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544535)
10,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,10,KAITHWALIA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004742617)
11,Pashchim Champaran,Chanpatiya,CHANPATIA,MOHANA KULI,11,KAITHWALIA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544536)
