id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,1,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
2,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,2,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Near Mandir,HandPump,Mainatanr Scheme(0001967762)
3,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,3,MADHURI,DOM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545425)
4,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,4,MADHURI,HARIJAN TOLI,Deep tubewell,Ground Water,Near Harijan Basti,HandPump,Mainatand Scheme(0007066845)
5,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,5,MADHURI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545426)
6,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,6,MADHURI,KURMI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545427)
7,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,7,MADHURI,MADHURI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545428)
8,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,8,MADHURI,RAILAY TOLI DAKKHAIN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545429)
9,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,9,MADHURI,SHEKH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545430)
10,Pashchim Champaran,Sikta,MAINATANR,MADHURI PARSA,10,MADHURI,UTTER TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545431)
